appid,title,developer,publisher,genres,languages,tags,release_date,price,old_userscore,is_free,detailed_description,about_the_game,short_description,pc_requirements,content_descriptors
359550,Tom Clancy's Rainbow Six® Siege,Ubisoft Montreal,Ubisoft,Action,"English, French, Italian, German, Spanish - Spain, Czech, Dutch, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Traditional Chinese, Simplified Chinese, Turkish, Thailanguages with full audio support","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Full controller support, Steam Trading Cards, In-App Purchases, Remote Play on Phone, Remote Play on Tablet",2015-12-01,"$7.99 ",,false,Edition ComparisonDeluxe EditionThe Tom Clancy's R...,“One of the best first-person shooters ever made. ...,"Tom Clancy's Rainbow Six® Siege is an elite, tacti...","Minimum:OS *: Originally released for Windows 7, t...",
252490,Rust,Facepunch Studios,Facepunch Studios,"Action, Adventure, Indie, Massively Multiplayer, RPG","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Russian, Simplified Chinese, Ukrainian, Polish, Portuguese - Portugal, Turkish, Arabic, Czech, Danish, Dutch, Finnish, Greek, Norwegian, Portuguese - Brazil, Spanish - Latin America, Swedish, Traditional Chinese, Vietnameselanguages with full audio support","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, In-App Purchases, Valve Anti-Cheat enabled, Stats, Remote Play on Tablet",2018-02-08,"$39.99 ",69,false,The only aim in Rust is to survive. Everything wan...,The only aim in Rust is to survive. Everything wan...,The only aim in Rust is to survive. Everything wan...,Minimum:Requires a 64-bit processor and operating ...,"Contains violence and caveman themed nudity.

In..."
236390,War Thunder,Gaijin Entertainment,Gaijin Network Ltd,"Action, Massively Multiplayer, Simulation, Free to Play","English, German, French, Italian, Spanish - Spain, Simplified Chinese, Russian, Japanese, Polish, Czech, Turkish, Portuguese - Portugal, Korean, Portuguese - Brazil, Hungarian, Ukrainian, Traditional Chinese, Romanianlanguages with full audio support","Single-player, Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, VR Supported, In-App Purchases, Remote Play on Phone, Remote Play on Tablet",2013-08-15,,81,true,War Thunder is the most comprehensive free-to-play...,War Thunder is the most comprehensive free-to-play...,War Thunder is the most comprehensive free-to-play...,Minimum:OS: Windows 10 (64bit)Processor: Dual-Core...,
1245620,ELDEN RING,FromSoftware Inc.,"FromSoftware Inc., Bandai Namco Entertainment","Azione, GDR","Inglese, Francese, Italiano, Tedesco, Spagnolo - Spagna, Giapponese, Coreano, Polacco, Portoghese - Brasile, Russo, Cinese semplificato, Spagnolo - America Latina, Tailandese, Cinese tradizionalelingue con supporto audio completo","Giocatore singolo, Multigiocatore, PvP, PvP online, Co-op, Partita cooperativa online, Achievement di Steam, Supporto completo per i controller, Carte collezionabili di Steam, Steam Cloud, Condivisione familiare",2022-02-24,"$59.99 ",94,false,Early PurchaseAcquista ora per ottenere il seguent...,"UN NUOVO ACTION RPG FANTASY.Alzati, Senzaluce, e l...","UN NUOVO ACTION RPG FANTASY. Alzati, Senzaluce, e ...",Minimi:Richiede un processore e un sistema operati...,
881020,Granblue Fantasy: Relink,"Cygames, Inc.","Cygames, Inc.","Action, Adventure, RPG","Japanese, English, Italian, German, Spanish - Spain, Portuguese - Brazil, Simplified Chinese, Traditional Chinese, Korean, Frenchlanguages with full audio support","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing",2024-01-31,"$59.99 ",,false,Special EditionIn addition to the Granblue Fantasy...,"Story
Granblue Fantasy takes place in the Sky Rea...",A grand adventure in the skies awaits! Form a part...,Minimum:Requires a 64-bit processor and operating ...,
1938090,Call of Duty®,"Sledgehammer Games, Treyarch, Infinity Ward, Beenox, Raven Software, High Moon Studios, Demonware",Activision,Action,"English, French, Italian, German, Spanish - Spain, Korean, Polish, Russian, Traditional Chinese, Japanese, Spanish - Latin America, Arabic, Simplified Chinese, Portuguese - Brazil, Thailanguages with full audio support","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Captions available, In-App Purchases",2022-10-27,,,false,Call of Duty®: Modern Warfare IILearn more about C...,Call of Duty® HQ supports Call of Duty®: Modern Wa...,"Welcome to Call of Duty® HQ, the home of Call of D...",Minimum:Requires a 64-bit processor and operating ...,
440,Team Fortress 2,Valve,Valve,"Action, Free to Play","English, Danish, Dutch, Finnish, French, German, Italian, Japanese, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Korean, Czech, Hungarian, Portuguese - Brazil, Turkish, Greek, Bulgarian, Romanian, Thai, Ukrainianlanguages with full audio support","Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Captions available, Steam Workshop, In-App Purchases, Partial Controller Support, Valve Anti-Cheat enabled, Stats, Includes level editor, Commentary available, Remote Play on Phone, Remote Play on Tablet",2007-10-10,,92,true,"""The most fun you can have online"" - PC Gamer
Is n...","""The most fun you can have online"" - PC Gamer
Is n...",Nine distinct classes provide a broad range of tac...,Minimum:OS *: Windows® 7 (32/64-bit)/Vista/XPProce...,Includes cartoon violence and gore.
230410,Warframe,Digital Extremes,Digital Extremes,"Action, RPG, Free to Play","English, German, French, Italian, Korean, Spanish - Spain, Simplified Chinese, Russian, Japanese, Polish, Portuguese - Brazil, Traditional Chinese, Turkish, Ukrainianlanguages with full audio support","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, In-App Purchases, Remote Play on Phone, Remote Play on Tablet",2013-03-25,,69,true,New DLC AvailableAbout the GameConfront warring fa...,Confront warring factions throughout a sprawling i...,Awaken as an unstoppable warrior and battle alongs...,Minimum:OS *:Windows 7 64-Bit (32-bit not supporte...,
2252570,Football Manager 2024,Sports Interactive,SEGA,"Simulation, Sports, Strategy","English, French, Italian, German, Spanish - Spain, Danish, Dutch, Greek, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Swedish, Turkish","Single-player, Multi-player, Steam Achievements, Steam Cloud, Family Sharing",2023-11-06,"$59.99 ",,false,ReviewsAbout the GameStep into the shoes of a real...,Step into the shoes of a real boss and write your ...,Build a world-class team ready to dominate your ri...,Minimum:Requires a 64-bit processor and operating ...,
304930,Unturned,Smartly Dressed Games,Smartly Dressed Games,"Action, Adventure, Casual, Indie, Free to Play",English,"Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, In-App Purchases, Steam Cloud, Valve Anti-Cheat enabled, Stats, Includes level editor, Remote Play on Tablet",2017-07-07,,,true,STAY UNTURNEDYou're one of the few not yet turned ...,STAY UNTURNEDYou're one of the few not yet turned ...,You're a survivor in the zombie infested ruins of ...,Minimum:OS *: Windows 7 SP1+Processor: 3 GHzMemory...,
289070,Sid Meier’s Civilization® VI,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",Strategy,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chineselanguages with full audio support","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Shared/Split Screen PvP, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Turn Notifications, Remote Play on Tablet, Remote Play Together, Family Sharing",2016-10-20,"$5.99 ",88,false,Civilization VI offers new ways to engage with you...,Civilization VI offers new ways to engage with you...,Civilization VI is the newest installment in the a...,Minimum:Requires a 64-bit processor and operating ...,
582010,Monster Hunter: World,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Action,"English, French, Italian, German, Spanish - Spain, Arabic, Portuguese - Brazil, Polish, Traditional Chinese, Japanese, Korean, Russian, Simplified Chinese, Spanish - Latin Americalanguages with full audio support","Single-player, Multi-player, Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Stats, Steam Leaderboards, Remote Play on Tablet, HDR available, Family Sharing",2018-08-08,"$29.99 ",88,false,Featured DLCFeatured DLCDigital Deluxe EditionThe ...,Welcome to a new world! Take on the role of a hunt...,"Welcome to a new world! In Monster Hunter: World, ...",Minimum:Requires a 64-bit processor and operating ...,
1599340,Lost Ark,Smilegate RPG,Amazon Games,"Action, Adventure, Massively Multiplayer, RPG, Free to Play","English, French, German, Spanish - Spainlanguages with full audio support","Single-player, Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, In-App Purchases, Partial Controller Support",2022-02-11,,,true,"Embark on an odyssey for the Lost Ark in a vast, v...","Embark on an odyssey for the Lost Ark in a vast, v...","Embark on an odyssey for the Lost Ark in a vast, v...",Minimum:Requires a 64-bit processor and operating ...,This Game may contain content not appropriate for ...
221100,DayZ,Bohemia Interactive,Bohemia Interactive,"Action, Adventure, Massively Multiplayer","English, French, Italian, German, Spanish - Spain, Czech, Russian, Simplified Chinese, Traditional Chinese, Japanese, Polish, Portuguese - Brazil","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Workshop, Steam Cloud, Valve Anti-Cheat enabled",2018-12-13,"$26.99 ",,false,Join our DiscordAbout the GameThis is your StoryTh...,"This is your StoryThere are no map markers, daily ...",How long can you survive a post-apocalyptic world?...,Minimum:OS: Windows 10 64-bitProcessor: Intel Core...,This game may contain content not appropriate for ...
1174180,Red Dead Redemption 2,Rockstar Games,Rockstar Games,"Action, Adventure","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chineselanguages with full audio support","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, In-App Purchases, Partial Controller Support, Remote Play on Phone, Remote Play on Tablet",2019-12-05,"$59.99 ",93,false,Ultimate EditionThe Red Dead Redemption 2:  Ultima...,"America, 1899.

Arthur Morgan and the Van der Lin...",Winner of over 175 Game of the Year Awards and rec...,Minimum:Requires a 64-bit processor and operating ...,
394360,Hearts of Iron IV,Paradox Development Studio,Paradox Interactive,"Simulation, Strategy","English, French, German, Polish, Portuguese - Brazil, Russian, Spanish - Spain, Japanese, Simplified Chinese","Single-player, Multi-player, Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Remote Play on Tablet, Family Sharing",2016-06-06,"$39.99 ",83,false,WISHLIST UPCOMING PARADOX INTERACTIVE STRATEGY GAM...,Join Our DiscordTake command of the world’s mighti...,Victory is at your fingertips! Your ability to lea...,Minimum:OS: Windows® 10 Home 64 BitProcessor: Inte...,
1203620,Enshrouded,Keen Games GmbH,Keen Games GmbH,"Action, Adventure, RPG, Early Access","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish, Ukrainian, Thai","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2024-01-24,"$29.99 ",,false,JOIN OUR DISCORDAbout the GameThe realm of Emberva...,The realm of Embervale is lost. In their greed for...,"You are Flameborn, last ember of hope of a dying r...",Minimum:Requires a 64-bit processor and operating ...,
2195250,EA SPORTS FC™ 24,EA Canada & EA Romania,Electronic Arts,"Simulation, Sports","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Arabic, Czech, Danish, Dutch, Norwegian, Portuguese - Portugal, Russian, Swedish, Turkishlanguages with full audio support","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, In-App Purchases, Remote Play Together, HDR available",2023-09-28,"$69.99 ",,false,Get 4600 FC Points with EA SPORTS FC™ 24 Ultimate ...,This game includes optional in-game purchases of v...,EA SPORTS FC™ 24 welcomes you to The World’s Game:...,Minimum:OS: Windows 10 - 64-BitProcessor: Intel Co...,
1782210,Crab Game,Dani,Dani,"Action, Casual, Free to Play, Indie, Racing",English,"Multi-player, PvP, Online PvP, Co-op, Online Co-op",2021-10-29,,,true,Crab Game is a First-Person Multiplayer game where...,Crab Game is a First-Person Multiplayer game where...,Crab Game is a First-Person Multiplayer game where...,Minimum:Requires a 64-bit processor and operating ...,Players fight eachother using guns and melee weapo...
534380,Dying Light 2 Stay Human: Reloaded Edition,Techland,Techland,"Action, Adventure, RPG","English, French, Italian, German, Spanish - Spain, Korean, Polish, Portuguese - Brazil, Russian, Spanish - Latin America, Arabic, Czech, Japanese, Portuguese - Portugal, Simplified Chinese, Traditional Chinese, Turkishlanguages with full audio support","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",2022-02-03,"$29.99 ",,false,Just UpdatedFirearms are making their way into the...,Dying Light 2 Stay Human: Reloaded Edition include...,"Now with guns! With the Reloaded Edition, the arse...",Minimum:Requires a 64-bit processor and operating ...,
1091500,Cyberpunk 2077,CD PROJEKT RED,CD PROJEKT RED,RPG,"English, French, Italian, German, Spanish - Spain, Arabic, Czech, Hungarian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Thai, Traditional Chinese, Turkish, Ukrainianlanguages with full audio support","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2020-12-09,"$59.99 ",86,false,Cyberpunk 2077: Ultimate EditionCheck out other ga...,"Cyberpunk 2077 is an open-world, action-adventure ...","Cyberpunk 2077 is an open-world, action-adventure ...",Minimum:Requires a 64-bit processor and operating ...,"Cyberpunk 2077 contains strong language, intense v..."
322330,Don't Starve Together,Klei Entertainment,Klei Entertainment,"Action, Adventure, Indie, RPG, Simulation, Strategy","English, Simplified Chineselanguages with full audio support","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Full controller support, Steam Trading Cards, Steam Workshop, In-App Purchases, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",2016-04-21,"$14.99 ",83,false,Explore TogetherDiscover and explore a massive pro...,"Fight, Farm, Build and Explore Together in the sta...","Fight, Farm, Build and Explore Together in the sta...",Minimum:OS *: Windows Vista/Windows 7/Windows 8Pro...,
1477830,HudSight - custom crosshair overlay,Eduard Kozadaev,Eduard Kozadaev,"Action, Education, Software Training, Utilities, Video Production","English, Russian",,2021-01-05,"$6.99 ",,false,HudSight tool draws your custom crosshair directly...,HudSight tool draws your custom crosshair directly...,HudSight tool draws your custom crosshair directly...,Minimum:OS: Windows 10Processor: 2-cores CPU with ...,
1238810,Battlefield™ V,DICE,Electronic Arts,Action,"English, French, Italian, German, Spanish - Spain, Arabic, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chineselanguages with full audio support","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Full controller support, Steam Trading Cards, HDR available",2020-10-22,"$49.99 ",,false,This is the ultimate Battlefield V experience. Ent...,This is the ultimate Battlefield V experience. Ent...,This is the ultimate Battlefield V experience. Ent...,Minimum:Requires a 64-bit processor and operating ...,
1966720,Lethal Company,Zeekerss,Zeekerss,"Action, Adventure, Indie, Early Access",Englishlanguages with full audio support,"Single-player, Multi-player, Co-op, Online Co-op, Partial Controller Support, Family Sharing",2023-10-23,"$9.99 ",,false,You are a contracted worker for the Company. Your ...,You are a contracted worker for the Company. Your ...,A co-op horror about scavenging at abandoned moons...,Minimum:Requires a 64-bit processor and operating ...,The game has a realistic atmosphere. Player charac...
2321470,Deep Rock Galactic: Survivor,Funday Games,Ghost Ship Publishing,"Action, Early Access","English, French, German, Spanish - Spain, Simplified Chinese, Italian, Korean, Portuguese - Brazil, Portuguese - Portugal, Traditional Chinese, Ukrainian, Hungarian, Russian, Japaneselanguages with full audio support","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2024-02-14,"$9.99 ",,false,Official Discord ServerRoadmapAbout the GameWelcom...,"Welcome, Survivor!DEEP ROCK GALACTIC: SURVIVOR is ...",Deep Rock Galactic: Survivor is a single player su...,Minimum:Requires a 64-bit processor and operating ...,
2349820,Hero's Land,钢之直男工作室,Orienjoy,"Action, Adventure, Massively Multiplayer, RPG, Free to Play","Simplified Chinese, English, Traditional Chinese, Japanese, Korean, Thai, Vietnamese, Indonesian","Multi-player, MMO, PvP, Online PvP, Steam Achievements, In-App Purchases, Remote Play Together",2023-05-17,,,true,JOIN US ON DISCORDFree To PlayAbout the GameGame I...,"Game InfoOn this mysterious continent, there are d...",HERO'S LAND is a multiplayer survival PvEvP game. ...,Minimum:OS: Win10 64-bitProcessor: Intel i3 5代 or ...,
381210,Dead by Daylight,Behaviour Interactive Inc.,Behaviour Interactive Inc.,Action,"English, French, Italian, German, Spanish - Spain, Russian, Simplified Chinese, Portuguese - Brazil, Thai, Traditional Chinese, Japanese, Korean, Polish, Spanish - Latin America, Turkishlanguages with full audio support","Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",2016-06-14,"$19.99 ",,false,OVERVIEWAbout the GameDeath Is Not an Escape.Dead ...,Death Is Not an Escape.Dead by Daylight is a multi...,Dead by Daylight is a multiplayer (4vs1) horror ga...,Minimum:Requires a 64-bit processor and operating ...,
227300,Euro Truck Simulator 2,SCS Software,SCS Software,"Indie, Simulation","English, German, French, Italian, Korean, Spanish - Spain, Simplified Chinese, Russian, Japanese, Portuguese - Portugal, Polish, Danish, Dutch, Finnish, Norwegian, Swedish, Hungarian, Czech, Romanian, Turkish, Portuguese - Brazil, Bulgarian, Greek, Ukrainian, Traditional Chinese","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Includes level editor, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing",2012-10-12,"$4.99 ",79,false,Just UpdatedJoin your friends and keep on truckin'...,"Travel across Europe as king of the road, a trucke...","Travel across Europe as king of the road, a trucke...",Minimum:OS *: Windows 7Processor: Intel Core i5-64...,
1248130,Farming Simulator 22,Giants Software,Giants Software,Simulation,"English, French, Italian, German, Spanish - Spain, Czech, Danish, Dutch, Finnish, Hungarian, Japanese, Korean, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Swedish, Traditional Chinese, Turkish, Norwegian, Spanish - Latin America","Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",2021-11-21,"$29.99 ",,false,"Take on the role of a modern farmer! Agriculture, ...","Take on the role of a modern farmer! Agriculture, ...",Create your farm and let the good times grow! Harv...,Minimum:Requires a 64-bit processor and operating ...,
413150,Stardew Valley,ConcernedApe,ConcernedApe,"Indie, RPG, Simulation","English, German, Spanish - Spain, Japanese, Portuguese - Brazil, Russian, Simplified Chinese, French, Italian, Hungarian, Korean, Turkish","Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing",2016-02-26,"$14.99 ",89,false,Stardew Valley is an open-ended country-life RPG! ...,Stardew Valley is an open-ended country-life RPG! ...,You've inherited your grandfather's old farm plot ...,Minimum:OS *: Windows Vista or greaterProcessor: 2...,
1085660,Destiny 2,Bungie,"Bungie ","Action, Adventure, Free to Play","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chineselanguages with full audio support","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, In-App Purchases, Partial Controller Support",2019-10-01,,83,true,Season of the WishDestiny 2: Season of the Wish Aw...,Dive into the world of Destiny 2 to explore the my...,Destiny 2 is an action MMO with a single evolving ...,Minimum:Requires a 64-bit processor and operating ...,
1371580,Myth of Empires,Angela Game,"Imperium Interactive Entertainment ","Action, Adventure, Indie, Massively Multiplayer, RPG","English, Simplified Chinese, French, German, Spanish - Spain, Russian, Czech, Japanese, Polish, Traditional Chinese, Portuguese - Brazil, Korean, Thai, Italian, Dutch","Single-player, Multi-player, MMO, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Steam Achievements, Steam Workshop, In-App Purchases, HDR available",2024-02-21,"$35.99 ",,false,WISHLIST & FOLLOW USCOMMUNITYJoin our Discord and ...,Embark Upon a Thrilling JourneyExplore a land with...,Myth of Empires is a multiplayer war sandbox game ...,Minimum:Requires a 64-bit processor and operating ...,
